"    Landmark","X5","Y5","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY","X11","Y11","dX","dY","X12","Y12","dX","dY","X14","Y14","dX","dY"
"U 6 APEX","37.2","-40.2","35.6","-42.1","-1.6","-1.9","36.2","-44.6","-1.0","-4.4","36.0","-46.4","-1.2","-6.2","36.3","-49.6","-0.9","-9.3","37.1","-50.9","-0.1","-10.7","39.2","-50.2","2.0","-10.0","37.3","-54.1","0.0","-13.8","36.4","-54.9","-0.8","-14.7"
"U 6 CUSP","31.6","-56.0","29.7","-57.4","-1.9","-1.4","29.3","-59.6","-2.2","-3.6","29.3","-61.1","-2.3","-5.1","32.1","-65.0","0.6","-9.0","34.6","-67.6","3.0","-11.6","36.9","-66.7","5.3","-10.6","33.5","-69.8","2.0","-13.7","34.7","-69.5","3.2","-13.5"
"L 6 CUSP","29.2","-56.0","29.0","-59.1","-0.2","-3.1","29.7","-59.7","0.5","-3.7","29.6","-61.2","0.4","-5.3","30.5","-65.1","1.3","-9.2","32.7","-67.0","3.5","-11.0","35.5","-66.5","6.2","-10.5","32.5","-69.4","3.2","-13.4","34.9","-69.6","5.7","-13.6"
"L 6 APEX","21.4","-71.1","20.1","-74.3","-1.3","-3.2","21.1","-75.5","-0.3","-4.4","21.1","-77.1","-0.3","-6.0","22.8","-82.6","1.3","-11.5","24.6","-82.3","3.2","-11.2","28.7","-83.9","7.3","-12.8","24.8","-84.3","3.4","-13.1","26.2","-85.2","4.8","-14.1"
"GONION L","-2.3","-70.8","-4.9","-73.1","-2.6","-2.2","-4.5","-73.6","-2.2","-2.8","-5.4","-76.1","-3.1","-5.3","-6.5","-81.7","-4.2","-10.8","-7.0","-82.3","-4.7","-11.5","-3.2","-84.0","-0.9","-13.2","-7.2","-85.2","-4.9","-14.4","-10.3","-83.4","-8.0","-12.5"
"GONION U","-2.6","-69.7","-4.7","-71.9","-2.1","-2.2","-5.8","-71.1","-3.1","-1.4","-6.3","-72.8","-3.7","-3.1","-7.1","-75.6","-4.4","-5.9","-8.0","-77.1","-5.4","-7.4","-4.9","-79.7","-2.3","-10.0","-11.1","-80.8","-8.5","-11.1","-10.6","-82.0","-8.0","-12.4"
"CONDYLE","-11.8","-12.2","-10.1","-15.2","1.7","-3.0","-10.9","-16.0","1.0","-3.8","-12.4","-14.1","-0.6","-1.9","-14.6","-15.4","-2.8","-3.2","-13.1","-16.7","-1.3","-4.5","-12.5","-16.0","-0.7","-3.8","-15.7","-14.3","-3.9","-2.2","-15.1","-15.2","-3.3","-3.0"
"PNS","18.6","-39.6","17.4","-40.5","-1.2","-0.9","16.7","-41.5","-1.8","-2.0","16.3","-42.1","-2.3","-2.6","15.2","-44.5","-3.4","-5.0","17.2","-45.9","-1.4","-6.3","19.9","-44.9","1.3","-5.3","15.7","-46.1","-2.8","-6.5","15.9","-46.1","-2.6","-6.5"
"BASION","-22.3","-34.1","-23.2","-34.8","-1.0","-0.7","-23.4","-34.6","-1.1","-0.5","-24.7","-35.4","-2.4","-1.3","-25.8","-36.6","-3.5","-2.5","-24.1","-34.7","-1.9","-0.6","-23.0","-36.3","-0.7","-2.2","-25.5","-35.8","-3.2","-1.7","-26.0","-36.1","-3.7","-2.0"
"U_6_MCP","34.5","-54.4","33.6","-55.8","-1.0","-1.4","33.2","-57.4","-1.4","-3.0","33.0","-58.7","-1.5","-4.2","35.1","-63.5","0.6","-9.1","37.4","-65.6","2.9","-11.2","40.0","-64.9","5.5","-10.4","36.0","-67.6","1.5","-13.2","37.2","-67.3","2.6","-12.9"
"L_6_MCP","30.9","-60.0","30.1","-63.1","-0.8","-3.1","30.3","-63.3","-0.5","-3.3","30.6","-64.5","-0.3","-4.5","31.6","-69.1","0.7","-9.1","34.0","-71.0","3.1","-11.0","37.5","-70.2","6.6","-10.2","34.2","-72.5","3.4","-12.5","35.5","-72.8","4.6","-12.8"
"ANS","65.5","-40.7","65.4","-41.8","-0.1","-1.1","66.7","-43.3","1.2","-2.7","66.8","-45.2","1.3","-4.5","67.9","-46.4","2.3","-5.7","69.8","-48.3","4.3","-7.6","72.0","-45.6","6.4","-5.0","69.6","-49.5","4.1","-8.9","69.5","-49.4","4.0","-8.7"
"ARTICULAR","-13.4","-26.4","-13.7","-27.7","-0.3","-1.3","-14.9","-27.5","-1.6","-1.1","-15.1","-27.6","-1.8","-1.2","-17.1","-29.6","-3.8","-3.2","-16.8","-30.5","-3.5","-4.1","-15.8","-29.9","-2.4","-3.5","-18.8","-30.3","-5.5","-3.9","-19.0","-30.2","-5.6","-3.8"
