"    Landmark","X5","Y5","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY","X11","Y11","dX","dY","X12","Y12","dX","dY","X13","Y13","dX","dY","X15","Y15","dX","dY"
"U 6 CUSP","21.3","-61.5","19.9","-64.3","-1.4","-2.8","23.2","-68.0","1.9","-6.5","24.8","-69.2","3.5","-7.7","20.5","-71.6","-0.8","-10.1","23.6","-71.9","2.3","-10.4","26.2","-72.8","4.8","-11.3","27.3","-75.5","6.0","-14.0","31.0","-83.8","9.7","-22.3","30.0","-79.8","8.7","-18.3"
"L 6 CUSP","19.7","-62.1","18.7","-64.9","-1.0","-2.7","19.3","-67.4","-0.4","-5.3","20.5","-68.8","0.9","-6.7","20.3","-71.8","0.6","-9.7","23.7","-72.4","4.0","-10.3","23.6","-73.4","3.9","-11.3","27.0","-75.8","7.3","-13.7","30.7","-83.8","11.0","-21.7","29.5","-80.6","9.8","-18.5"
"L 6 APEX","9.9","-76.3","8.3","-77.7","-1.6","-1.4","8.3","-80.8","-1.6","-4.5","9.2","-83.8","-0.7","-7.5","6.1","-83.6","-3.8","-7.3","12.1","-88.7","2.2","-12.4","11.2","-89.0","1.2","-12.7","13.8","-93.2","3.9","-16.9","20.2","-100.5","10.3","-24.2","15.6","-98.7","5.7","-22.4"
"GONION L","-15.1","-71.8","-16.1","-75.0","-1.0","-3.3","-17.6","-76.6","-2.5","-4.9","-16.5","-78.0","-1.4","-6.2","-19.7","-77.7","-4.6","-6.0","-17.5","-80.8","-2.4","-9.0","-16.1","-80.2","-1.0","-8.5","-15.2","-87.4","-0.1","-15.7","-13.4","-95.9","1.7","-24.1","-13.0","-98.6","2.0","-26.9"
"GONION U","-15.6","-71.2","-19.1","-70.3","-3.5","0.9","-20.8","-71.4","-5.2","-0.2","-20.2","-72.5","-4.6","-1.2","-21.3","-75.1","-5.7","-3.9","-17.5","-76.3","-1.9","-5.1","-18.4","-77.8","-2.7","-6.6","-17.4","-82.9","-1.8","-11.7","-16.3","-90.2","-0.7","-19.0","-14.8","-91.8","0.9","-20.6"
"CONDYLE","-18.8","-16.6","-20.0","-16.4","-1.2","0.2","-20.7","-16.4","-1.9","0.2","-22.0","-17.4","-3.2","-0.8","-20.5","-15.9","-1.7","0.7","-19.5","-16.9","-0.7","-0.3","-23.6","-19.0","-4.7","-2.4","-22.9","-19.4","-4.0","-2.8","-23.2","-21.0","-4.3","-4.4","-22.5","-20.1","-3.6","-3.5"
"PNS","15.7","-41.3","13.0","-42.5","-2.7","-1.2","13.2","-43.9","-2.6","-2.5","13.4","-45.1","-2.3","-3.7","11.3","-45.8","-4.4","-4.5","13.3","-46.6","-2.4","-5.3","13.2","-47.5","-2.6","-6.2","15.8","-49.7","0.0","-8.3","16.7","-52.2","1.0","-10.8","16.8","-52.9","1.0","-11.6"
"BASION","-27.5","-36.9","-29.6","-38.0","-2.1","-1.1","-31.3","-38.1","-3.8","-1.2","-29.9","-39.6","-2.5","-2.7","-32.2","-38.6","-4.7","-1.6","-30.9","-40.3","-3.5","-3.4","-30.3","-42.6","-2.9","-5.7","-30.8","-45.0","-3.4","-8.1","-30.9","-47.2","-3.5","-10.3","-31.7","-47.7","-4.3","-10.7"
"U_6_MCP","24.5","-60.3","23.0","-63.1","-1.5","-2.8","25.9","-66.2","1.3","-5.9","28.1","-67.7","3.5","-7.4","24.2","-69.5","-0.3","-9.2","27.2","-70.5","2.7","-10.2","29.4","-71.1","4.9","-10.8","30.9","-73.9","6.4","-13.6","34.7","-81.7","10.2","-21.4","32.6","-77.9","8.0","-17.6"
"L_6_MCP","20.2","-65.6","18.1","-67.4","-2.0","-1.8","19.1","-70.2","-1.1","-4.7","21.0","-73.0","0.8","-7.4","19.9","-75.1","-0.3","-9.5","24.7","-75.6","4.5","-10.0","23.5","-76.5","3.3","-10.9","27.0","-78.9","6.8","-13.3","32.0","-86.4","11.8","-20.8","29.4","-85.6","9.2","-20.0"
"ANS","57.2","-48.8","56.0","-52.1","-1.2","-3.4","57.1","-54.0","-0.2","-5.2","58.9","-52.9","1.7","-4.2","53.7","-55.8","-3.5","-7.0","58.6","-57.0","1.3","-8.2","61.1","-55.7","3.8","-7.0","62.9","-57.0","5.7","-8.3","66.5","-60.5","9.2","-11.7","64.5","-59.6","7.2","-10.9"
"ARTICULAR","-21.3","-33.5","-22.0","-33.3","-0.7","0.2","-23.2","-33.8","-2.0","-0.4","-22.5","-34.7","-1.2","-1.2","-23.6","-33.9","-2.3","-0.5","-23.1","-34.8","-1.8","-1.3","-22.9","-37.8","-1.7","-4.3","-24.1","-39.6","-2.9","-6.1","-23.8","-41.2","-2.6","-7.7","-23.2","-41.5","-1.9","-8.0"
