"    Landmark","X2","Y2","X3","Y3","dX","dY","X4","Y4","dX","dY","X5","Y5","dX","dY","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY"
"POGONION","46.5","-100.6","45.2","-103.7","-1.4","-3.1","44.3","-103.8","-2.2","-3.2","45.7","-106.3","-0.9","-5.7","48.6","-107.5","2.1","-6.9","49.7","-110.8","3.2","-10.2","52.4","-116.6","5.9","-16.0","53.9","-119.6","7.3","-19.0"
"MENTON","36.7","-106.2","33.6","-109.0","-3.2","-2.9","33.2","-109.5","-3.6","-3.3","35.0","-112.4","-1.7","-6.2","37.4","-113.5","0.7","-7.3","38.0","-117.0","1.3","-10.8","41.8","-122.3","5.1","-16.2","42.9","-125.1","6.2","-18.9"
"U 6 APEX","34.4","-43.0","37.5","-45.8","3.0","-2.9","36.7","-46.5","2.3","-3.5","36.6","-46.8","2.2","-3.8","41.3","-49.4","6.9","-6.4","39.0","-51.1","4.5","-8.1","41.0","-56.1","6.6","-13.2","45.0","-58.3","10.6","-15.3"
"U 6 CUSP","28.8","-60.2","30.0","-62.2","1.1","-2.0","29.9","-64.0","1.1","-3.7","30.4","-66.0","1.6","-5.8","33.3","-66.0","4.5","-5.7","34.5","-70.6","5.7","-10.4","37.6","-74.5","8.8","-14.3","39.3","-75.0","10.5","-14.8"
"L 6 CUSP","31.4","-64.0","29.9","-64.8","-1.4","-0.8","30.1","-65.7","-1.3","-1.7","30.8","-67.3","-0.6","-3.4","34.1","-69.0","2.7","-5.1","36.3","-73.5","4.9","-9.5","39.4","-76.9","8.0","-13.0","40.0","-76.4","8.6","-12.4"
"L 6 APEX","19.5","-81.7","17.9","-85.6","-1.5","-3.9","17.9","-85.8","-1.6","-4.1","18.8","-87.4","-0.7","-5.7","22.0","-89.0","2.5","-7.3","23.8","-93.7","4.4","-11.9","28.4","-97.3","9.0","-15.5","29.7","-98.0","10.2","-16.2"
"GONION L","-2.4","-75.9","-6.1","-75.4","-3.6","0.5","-8.3","-76.5","-5.8","-0.6","-8.7","-77.4","-6.3","-1.5","-6.4","-80.1","-4.0","-4.2","-7.2","-83.5","-4.7","-7.6","-8.4","-87.3","-6.0","-11.3","-5.8","-90.4","-3.4","-14.5"
"GONION U","-4.4","-72.7","-6.1","-75.4","-1.7","-2.7","-8.1","-72.7","-3.7","-0.0","-9.8","-74.7","-5.5","-2.0","-7.7","-76.9","-3.3","-4.3","-7.8","-79.5","-3.5","-6.9","-8.8","-82.5","-4.5","-9.8","-7.7","-85.8","-3.3","-13.1"
"CONDYLE","-18.5","-16.5","-17.6","-15.9","0.9","0.5","-17.4","-14.2","1.1","2.2","-21.2","-15.6","-2.7","0.9","-20.3","-16.4","-1.8","0.1","-22.5","-17.6","-4.0","-1.1","-23.5","-19.4","-5.0","-2.9","-20.2","-17.8","-1.6","-1.3"
"PNS","13.4","-44.1","14.2","-44.4","0.7","-0.2","13.6","-45.3","0.1","-1.2","11.2","-45.7","-2.3","-1.6","16.2","-47.2","2.7","-3.1","14.4","-49.1","0.9","-5.0","12.9","-52.5","-0.5","-8.4","15.4","-52.1","2.0","-8.0"
"BASION","-30.8","-32.5","-32.3","-33.3","-1.5","-0.8","-31.6","-31.5","-0.8","0.9","-34.1","-32.0","-3.3","0.4","-31.8","-35.6","-1.0","-3.1","-35.6","-34.3","-4.8","-1.8","-34.4","-37.6","-3.6","-5.1","-34.4","-37.0","-3.6","-4.5"
"MID GONION","-3.4","-74.3","-6.1","-75.4","-2.6","-1.1","-8.2","-74.6","-4.8","-0.3","-9.3","-76.0","-5.9","-1.7","-7.0","-78.5","-3.6","-4.2","-7.5","-81.5","-4.1","-7.2","-8.6","-84.8","-5.2","-10.6","-6.8","-88.1","-3.3","-13.8"
"ANS","67.2","-47.6","66.1","-48.6","-1.1","-1.1","65.3","-48.9","-1.9","-1.3","65.6","-50.1","-1.6","-2.5","68.9","-50.1","1.7","-2.5","68.1","-52.0","0.9","-4.4","69.2","-55.9","2.0","-8.3","70.8","-55.2","3.6","-7.6"
"ARTICULAR","-16.8","-28.3","-17.5","-27.6","-0.7","0.6","-18.5","-28.3","-1.7","-0.0","-18.6","-28.9","-1.8","-0.6","-19.0","-30.7","-2.2","-2.4","-21.0","-31.1","-4.2","-2.8","-20.8","-33.5","-4.0","-5.3","-20.0","-33.8","-3.2","-5.5"
